	PD_whole_tree	chao1	observed_otus
DD6	11.25649	545.076923077	141.0
DD60	12.67069	564.428571429	113.0
DD61	10.82409	338.4	117.0
DD63	12.41861	249.4	123.0
DD64	15.30734	383.6	161.0
DD65	13.78584	406.047619048	151.0
DD67	11.16576	315.571428571	112.0
DD68	19.78834	534.75	213.0
DD7	16.1393	438.176470588	147.0
DD70	14.05251	580.230769231	144.0
